window_start,window_end,symbol,avg_price,total_volume,buy_volume,sell_volume,high,low,open,close
2026-05-05 12:05:35,2026-05-05 12:05:40,SOLUSDT,84.94999999999995,102.673,0.0,102.673,84.95,84.95,84.95,84.95
2026-05-05 12:05:35,2026-05-05 12:05:40,ETHUSDT,2378.6638194444454,8.630700000000013,0.0572,8.573500000000012,2378.82,2378.44,2378.82,2378.45
2026-05-05 12:05:35,2026-05-05 12:05:40,XRPUSDT,1.4075999999999995,125.79999999999998,0.0,125.79999999999998,1.4076,1.4076,1.4076,1.4076
2026-05-05 12:05:40,2026-05-05 12:05:45,ETHUSDT,2378.358363636363,3.6313999999999993,1.7793,1.8521,2378.45,2378.29,2378.45,2378.3
2026-05-05 12:05:40,2026-05-05 12:05:45,SOLUSDT,84.94800000000001,17.09,4.759,12.331,84.95,84.94,84.95,84.95
2026-05-05 12:05:40,2026-05-05 12:05:45,BTCUSDT,80982.84642857141,0.08372,0.0661699999999999,0.01755,80982.85,80982.84,80982.85,80982.85
2026-05-05 12:05:40,2026-05-05 12:05:45,BNBUSDT,628.1656097560979,3.113,0.014,3.099,628.18,628.14,628.18,628.15
2026-05-05 12:05:45,2026-05-05 12:05:50,BTCUSDT,80982.84473684212,0.06237,0.01793,0.04444,80982.85,80982.84,80982.84,80982.84
2026-05-05 12:05:45,2026-05-05 12:05:50,SOLUSDT,84.94333333333333,4.075,0.726,3.349,84.95,84.94,84.95,84.94
2026-05-05 12:05:45,2026-05-05 12:05:50,BNBUSDT,628.1433333333333,12.57,11.443,1.127,628.15,628.14,628.15,628.15
2026-05-05 12:05:45,2026-05-05 12:05:50,XRPUSDT,1.4074655172413797,1169.499999999999,295.4,874.1000000000001,1.4076,1.4074,1.4076,1.4074
2026-05-05 12:05:45,2026-05-05 12:05:50,ETHUSDT,2378.300000000001,4.284600000000004,4.206400000000004,0.0781999999999999,2378.3,2378.3,2378.3,2378.3
2026-05-05 12:05:50,2026-05-05 12:05:55,BNBUSDT,628.1320338983048,6.554000000000008,1.801,4.753000000000008,628.15,628.1,628.15,628.1
2026-05-05 12:05:50,2026-05-05 12:05:55,BTCUSDT,80982.84555555554,0.03764,0.0339099999999999,0.00373,80982.85,80982.84,80982.84,80982.85
2026-05-05 12:05:50,2026-05-05 12:05:55,XRPUSDT,1.4073124999999995,264.5,54.0,210.5,1.4074,1.4073,1.4073,1.4074
2026-05-05 12:05:50,2026-05-05 12:05:55,ETHUSDT,2378.309,2.0688,1.8556,0.2132,2378.31,2378.3,2378.31,2378.31
2026-05-05 12:05:55,2026-05-05 12:06:00,SOLUSDT,84.94500000000001,106.511,20.544000000000004,85.967,84.95,84.94,84.94,84.95
2026-05-05 12:05:55,2026-05-05 12:06:00,XRPUSDT,1.4072999999999996,224.8,146.9,77.89999999999999,1.4073,1.4073,1.4073,1.4073
2026-05-05 12:05:50,2026-05-05 12:05:55,SOLUSDT,84.94333333333333,28.005,1.384,26.621,84.95,84.94,84.95,84.95
2026-05-05 12:05:55,2026-05-05 12:06:00,BNBUSDT,628.0936363636364,1.2899999999999998,1.036,0.254,628.1,628.09,628.1,628.09
2026-05-05 12:05:55,2026-05-05 12:06:00,ETHUSDT,2378.3036363636365,5.123100000000001,5.0463000000000005,0.0768,2378.31,2378.3,2378.3,2378.31
2026-05-05 12:05:55,2026-05-05 12:06:00,BTCUSDT,80982.8446153846,0.0453699999999999,0.03825,0.00712,80982.85,80982.84,80982.85,80982.84
2026-05-05 12:06:00,2026-05-05 12:06:05,ETHUSDT,2378.351262135925,3.6854999999999984,0.8524999999999984,2.833,2378.42,2378.3,2378.3,2378.42
2026-05-05 12:06:00,2026-05-05 12:06:05,BTCUSDT,80982.84666666666,0.0102399999999999,0.00817,0.00207,80982.85,80982.84,80982.84,80982.84
2026-05-05 12:06:00,2026-05-05 12:06:05,XRPUSDT,1.4072894736842103,875.1,536.4,338.70000000000005,1.4073,1.4072,1.4073,1.4073
2026-05-05 12:06:00,2026-05-05 12:06:05,BNBUSDT,628.0749090909093,8.166999999999998,2.264,5.902999999999999,628.09,628.05,628.09,628.05
2026-05-05 12:06:00,2026-05-05 12:06:05,SOLUSDT,84.94777777777777,139.211,138.298,0.913,84.95,84.94,84.95,84.94
2026-05-05 12:06:05,2026-05-05 12:06:10,XRPUSDT,1.4071585185185187,149343.0000000001,283.1,149059.90000000008,1.4073,1.407,1.4073,1.4073
2026-05-05 12:06:05,2026-05-05 12:06:10,SOLUSDT,84.95233333333336,17.442999999999994,17.442999999999994,0.0,84.96,84.95,84.95,84.96
2026-05-05 12:06:05,2026-05-05 12:06:10,BNBUSDT,628.0816666666661,5.510000000000007,5.510000000000007,0.0,628.12,628.06,628.06,628.12
2026-05-05 12:06:05,2026-05-05 12:06:10,BTCUSDT,80991.86258119631,0.7626700000000007,0.7293800000000006,0.03329,81003.97,80982.85,80982.85,81003.97
2026-05-05 12:06:05,2026-05-05 12:06:10,ETHUSDT,2378.721045296169,5.687500000000008,5.135600000000008,0.5519000000000001,2379.13,2378.42,2378.43,2379.13
2026-05-05 12:06:10,2026-05-05 12:06:15,BNBUSDT,628.1270833333333,2.406,0.392,2.014,628.14,628.12,628.12,628.14
2026-05-05 12:06:10,2026-05-05 12:06:15,BTCUSDT,81003.99636363635,0.06061,0.00405,0.05656,81004.0,81003.99,81003.99,81003.99
2026-05-05 12:06:10,2026-05-05 12:06:15,XRPUSDT,1.4074,5.0,5.0,0.0,1.4074,1.4074,1.4074,1.4074
2026-05-05 12:06:10,2026-05-05 12:06:15,ETHUSDT,2379.1312500000004,15.0626,0.013,15.0496,2379.14,2379.13,2379.14,2379.13
2026-05-05 12:06:10,2026-05-05 12:06:15,SOLUSDT,84.95,0.5,0.0,0.5,84.95,84.95,84.95,84.95
2026-05-05 12:06:15,2026-05-05 12:06:20,ETHUSDT,2379.025625000001,12.616900000000015,1.4334,11.183500000000018,2379.14,2378.9,2379.13,2378.9
